ATTORNEY_NAME,COURT_NAME,FILED_YEAR,WINS
"COUNSEL, CORPORATION",Bronx County Supreme Court,2020,1
"BANKS, JONATHAN FLOYD",Bronx County Supreme Court,2021,1
"BHARGAVA, ANURADHA",Bronx County Supreme Court,2021,1
"COUNSEL, CORPORATION",Bronx County Supreme Court,2021,1
GANNON ROSENFARB & DROSSMAN,Bronx County Supreme Court,2021,1
"GOKHULSINGH, ACCARDY & ROSENFARB",Bronx County Supreme Court,2021,1
"CAFARO, CHRISTOPHER THOMAS",Bronx County Supreme Court,2022,1
"CRAIG, ANNEMARIE F",Bronx County Supreme Court,2022,1
"FREEZE, LAWRENCE JAMES",Bronx County Supreme Court,2022,1
"GUTTMAN, MICHAEL ALAN",Bronx County Supreme Court,2022,1
"MATTERA, LAURA M",Bronx County Supreme Court,2022,1
"MARKOFF, MATTHEW E",Bronx County Supreme Court,2023,1
"COUNSEL, CORPORATION",Bronx County Supreme Court,Overall,2
"MARKOFF, MATTHEW E",Bronx County Supreme Court,Overall,2
"BANKS, JONATHAN FLOYD",Bronx County Supreme Court,Overall,1
"BHARGAVA, ANURADHA",Bronx County Supreme Court,Overall,1
"CAFARO, CHRISTOPHER THOMAS",Bronx County Supreme Court,Overall,1
"ACOSTA, CHRISTOPHER D.",Kings County Supreme Court,2020,1
"AUBEL, JOHN THOMAS",Kings County Supreme Court,2020,1
"ECKERT, LOUIS F",Kings County Supreme Court,2020,1
"HASTIE, COLLEEN E",Kings County Supreme Court,2020,1
"MUOIO, MEGAN JEANE",Kings County Supreme Court,2020,1
"ALTER, DANIEL ANDRE",Kings County Supreme Court,2021,1
"DE TOLLA, GREGORY JAMES",Kings County Supreme Court,2021,1
"DEVENEY, BRIAN T",Kings County Supreme Court,2021,1
"DOZIS, DENNIS J.",Kings County Supreme Court,2021,1
"FISCHER, DAMIAN F.",Kings County Supreme Court,2021,1
"MARKOFF, MATTHEW E",Kings County Supreme Court,2022,4
"CAPRIC, LINDITA",Kings County Supreme Court,2022,2
"ROSENFELD, STEVEN H",Kings County Supreme Court,2022,2
"ABATEMARCO, TRACY JILL",Kings County Supreme Court,2022,1
"BARTHOLOMEW, SELWYN NELSON",Kings County Supreme Court,2022,1
"HAYNES, EDWARD CHARLES",Kings County Supreme Court,2023,2
"BARTLEY, ALICIA RENA",Kings County Supreme Court,2023,1
"BECKERMAN, JASON L",Kings County Supreme Court,2023,1
"BREMNER, MATTHEW ROBERT",Kings County Supreme Court,2023,1
"DVOSKIN, GARY EDWARD",Kings County Supreme Court,2023,1
"BERKOWITZ, JANICE",Kings County Supreme Court,2024,1
"COUNSEL, CORPORATION",Kings County Supreme Court,2024,1
"GUITERMAN, SETH ADAM",Kings County Supreme Court,2024,1
"KOCH, NICOLE ELIZABETH",Kings County Supreme Court,2024,1
"LECHNER, MATTHEW E.",Kings County Supreme Court,2024,1
"MARKOFF, MATTHEW E",Kings County Supreme Court,Overall,6
"TURKEL, LAUREN RACHEL",Kings County Supreme Court,Overall,3
"WEISSMAN, AMY S",Kings County Supreme Court,Overall,3
"CAPRIC, LINDITA",Kings County Supreme Court,Overall,2
"GROSS, OLIVIA M",Kings County Supreme Court,Overall,2
CAIAFA DOUGLAS ESQ.,Los Angeles County Superior Court,2022,1
DREXLER DAVID,Los Angeles County Superior Court,2024,1
CAIAFA DOUGLAS ESQ.,Los Angeles County Superior Court,Overall,1
DREXLER DAVID,Los Angeles County Superior Court,Overall,1
"ACOSTA, CHRISTOPHER D.",All Courts,2020,1
"AUBEL, JOHN THOMAS",All Courts,2020,1
"COUNSEL, CORPORATION",All Courts,2020,1
"ECKERT, LOUIS F",All Courts,2020,1
"HASTIE, COLLEEN E",All Courts,2020,1
"MARKOFF, MATTHEW E",All Courts,2021,2
"ALTER, DANIEL ANDRE",All Courts,2021,1
"BANKS, JONATHAN FLOYD",All Courts,2021,1
"BHARGAVA, ANURADHA",All Courts,2021,1
"COUNSEL, CORPORATION",All Courts,2021,1
"MARKOFF, MATTHEW E",All Courts,2022,4
"CAPRIC, LINDITA",All Courts,2022,2
"ROSENFELD, STEVEN H",All Courts,2022,2
"ABATEMARCO, TRACY JILL",All Courts,2022,1
"BARTHOLOMEW, SELWYN NELSON",All Courts,2022,1
"HAYNES, EDWARD CHARLES",All Courts,2023,2
"MARKOFF, MATTHEW E",All Courts,2023,2
"BARTLEY, ALICIA RENA",All Courts,2023,1
"BECKERMAN, JASON L",All Courts,2023,1
"BREMNER, MATTHEW ROBERT",All Courts,2023,1
"BERKOWITZ, JANICE",All Courts,2024,1
"COUNSEL, CORPORATION",All Courts,2024,1
DREXLER DAVID,All Courts,2024,1
"GUITERMAN, SETH ADAM",All Courts,2024,1
"KOCH, NICOLE ELIZABETH",All Courts,2024,1
"MARKOFF, MATTHEW E",All Courts,Overall,8
"COUNSEL, CORPORATION",All Courts,Overall,3
"TURKEL, LAUREN RACHEL",All Courts,Overall,3
"WEISSMAN, AMY S",All Courts,Overall,3
"CAPRIC, LINDITA",All Courts,Overall,2
