ATTORNEY_NAME,COURT_NAME,FILED_YEAR,AVG_DURATION_DAYS,MIN_DURATION_DAYS,MAX_DURATION_DAYS,TOTAL_CASES
"SCOTT J. ZLOTOLOW, ESQ.",Bronx County Supreme Court,2020,1750,989,2266,15
"Fuchs Rosenzweig, PLLC",Bronx County Supreme Court,2020,1767,787,2205,18
"LAW OFFICE OF RYAN S. GOLDSTEIN, PLLC",Bronx County Supreme Court,2020,1789,349,2245,16
CORPORATION COUNSEL,Bronx County Supreme Court,2020,1813,895,2277,57
"Rizzo, Ronald John",Bronx County Supreme Court,2020,1881,22,2418,29
"LONDON FISCHER, LLP",Bronx County Supreme Court,2021,1512,826,1935,11
"Harwood Lloyd, LLC",Bronx County Supreme Court,2021,1529,740,1915,21
Connick McNamee PLLC,Bronx County Supreme Court,2021,1541,981,1988,13
"Fuchs Rosenzweig, PLLC",Bronx County Supreme Court,2021,1553,423,1863,15
"GORAYEB & ASSOCIATES, P.C.",Bronx County Supreme Court,2021,1591,69,1941,31
"Elefterakis, Elefterakis & Panek",Bronx County Supreme Court,2022,1251,761,1529,16
BARTLETT LLP,Bronx County Supreme Court,2022,1253,831,1497,12
CONSOLIDATED EDISON COMPANY OF NEW YORK,Bronx County Supreme Court,2022,1264,232,1606,13
MABSTOA LEGAL DEPT.,Bronx County Supreme Court,2022,1296,1168,1453,14
"Brody Law Group, PLLC",Bronx County Supreme Court,2022,1362,1200,1558,11
KENNEDYS,Bronx County Supreme Court,2023,894,661,1059,13
"SHAPIRO LAW OFFICES, PLLC",Bronx County Supreme Court,2023,897,589,1123,11
"QUINTAIROS, WOOD, PRIETO & BOYER, P.A.",Bronx County Supreme Court,2023,901,709,1126,13
"NASS ROPER & LEVIN, P.C.",Bronx County Supreme Court,2023,911,3,1272,17
"Brody Law Group, PLLC",Bronx County Supreme Court,2023,967,828,1093,11
"Elefterakis, Elefterakis & Panek",Bronx County Supreme Court,2024,605,256,887,17
LAW OFFICE OF ANDREW C LAUFER PLLC,Bronx County Supreme Court,2024,630,380,789,13
"NEIL WOLLERSTEIN, ESQ.",Bronx County Supreme Court,2024,632,207,959,97
LAW OFFICES OF DEVON M. RADLIN,Bronx County Supreme Court,2024,637,30,867,42
"Flomenhaft Law Firm, PLLC",Bronx County Supreme Court,2024,639,246,778,11
"Decorato, Sheehan, Merolesi & Federico, LLP",Bronx County Supreme Court,Overall,1567,1101,2195,12
SONIN & GENIS LLC,Bronx County Supreme Court,Overall,1576,164,2115,13
"Raskin & Kremins, LLP",Bronx County Supreme Court,Overall,1646,599,2209,11
"Law Offices of Michael S. Lamonsoff, PLLC",Bronx County Supreme Court,Overall,1818,1297,2068,11
"Rizzo, Ronald John",Bronx County Supreme Court,Overall,1834,22,2418,30
Rawle & Henderson LLP,Kings County Supreme Court,2020,1861,1332,2253,15
"GARCIA AVELAR, SANTOS DAVID",Kings County Supreme Court,2020,1871,1656,2144,14
"DESOUZA FORTE, MICHELLE ROXANNE",Kings County Supreme Court,2020,1873,1244,2137,21
