ATTORNEY_NAME,COURT_NAME,FILED_YEAR,WINS
"PRESSMAN, MICHAEL EDMUND",Bronx County Supreme Court,2020,17
"MARTIN, STEVEN",Bronx County Supreme Court,2020,16
"HOPWOOD, JOHN J",Bronx County Supreme Court,2020,14
"LINTON, ARLOW MICHAEL",Bronx County Supreme Court,2020,14
"COGAN, HOWARD L",Bronx County Supreme Court,2020,13
"COUNSEL, CORPORATION",Bronx County Supreme Court,2021,80
"BENARD, JODY CAROL",Bronx County Supreme Court,2021,8
"GIRSH, LARISA",Bronx County Supreme Court,2021,8
"PRESSMAN, MICHAEL EDMUND",Bronx County Supreme Court,2021,8
"SCHNEIDER, MICHAEL R",Bronx County Supreme Court,2021,8
"COGAN, HOWARD L",Bronx County Supreme Court,2022,11
"COUNSEL, CORPORATION",Bronx County Supreme Court,2022,10
"O'CONNOR, MAGGIE PATRICE",Bronx County Supreme Court,2022,5
"DOWNEY, PATRICK F",Bronx County Supreme Court,2022,4
"DUFFY, NICOLA ROSE",Bronx County Supreme Court,2022,4
"COUNSEL, CORPORATION",Bronx County Supreme Court,2023,11
"BENARD, JODY CAROL",Bronx County Supreme Court,2023,3
"BROWNELL, RICHARD",Bronx County Supreme Court,2023,3
"CAPOBIANCO, STEVEN CHARLES",Bronx County Supreme Court,2023,3
"FERNANDES, BRANDON JOSEPH",Bronx County Supreme Court,2023,3
"COUNSEL, CORPORATION",Bronx County Supreme Court,2024,4
"ABRAMS GORELICK FRIEDMAN & JACOBSON, LLP",Bronx County Supreme Court,2024,2
"BECKER, MICHAEL CARL",Bronx County Supreme Court,2024,2
"GREEN, JOSEPH H",Bronx County Supreme Court,2024,2
"IEMMA, JOSEPH ANGELO",Bronx County Supreme Court,2024,2
"COGAN, HOWARD L",Bronx County Supreme Court,Overall,31
"PRESSMAN, MICHAEL EDMUND",Bronx County Supreme Court,Overall,30
"SPARLING, JOHN E",Bronx County Supreme Court,Overall,25
"BROWNELL, RICHARD",Bronx County Supreme Court,Overall,22
"CASCONE, LEONARD MICHAEL",Bronx County Supreme Court,Overall,21
"TOOMEY, JAMES J",Kings County Supreme Court,2020,24
"GOLD, JEFFREY B",Kings County Supreme Court,2020,23
"SPARLING, JOHN E",Kings County Supreme Court,2020,20
"KOEHLER, RICHARD C",Kings County Supreme Court,2020,19
"DESANTIS, SALVATORE J.",Kings County Supreme Court,2020,18
"TOOMEY, JAMES J",Kings County Supreme Court,2021,63
"PRESSMAN, MICHAEL EDMUND",Kings County Supreme Court,2021,28
"GOLD, JEFFREY B",Kings County Supreme Court,2021,25
"MILLER, JEFFREY R",Kings County Supreme Court,2021,17
"TORINO, BRUCE A",Kings County Supreme Court,2021,17
"COUNSEL, CORPORATION",Kings County Supreme Court,2022,99
"SHAPIRO, ADAM PHILIP",Kings County Supreme Court,2022,16
