COURT_NAME,areaOfLaw,FILED_YEAR,AVG_CASE_DURATION,AVG_TIME_TO_RESOLUTION,FASTEST_DOCKET_CLOSURE,AVG_TIME_TO_DISMISSAL,AVG_DURATION_NO_TRIAL,MTD_GRANTED_COUNT,MTD_COUNT,MTD_SUCCESS_RATE,SJ_GRANTED_COUNT,SJ_DENIED_COUNT,SJ_TOTAL_COUNT,SJ_SUCCESS_RATE,CLOSED_CASE_COUNT,OPEN_CASES,TOTAL_CASES
All Courts,All,2020,810,825,2,750,40,706,4322,16.34,641,415,2671,72.92,14975,21154,35541
All Courts,All,2021,748,716,1,646,39,637,3895,16.35,556,346,2169,74.43,11781,23654,33127
All Courts,All,2022,601,572,1,586,58,593,2989,19.84,376,218,1532,75.96,8508,24820,31391
All Courts,All,2023,464,434,1,491,42,516,1905,27.09,160,90,771,73.73,5516,30424,32581
All Courts,All,2024,392,287,1,318,38,446,1772,25.17,77,46,416,72.64,5413,33174,34695
All Courts,All,Overall,604,641,1,631,43,2898,14883,19.47,1810,1115,7559,74.06,46193,133226,167335
All Courts,Labor and Employment,2020,590,663,2,626,31,144,774,18.60,251,132,975,77.71,3420,7931,10862
All Courts,Labor and Employment,2021,561,538,13,549,28,120,755,15.89,210,101,731,79.55,2902,9441,10027
All Courts,Labor and Employment,2022,505,380,1,425,49,144,647,22.26,135,70,544,80.36,2472,8206,8850
All Courts,Labor and Employment,2023,344,311,1,391,34,103,481,21.41,41,21,184,80.39,1401,12117,11653
All Courts,Labor and Employment,2024,371,260,2,310,26,125,619,20.19,27,22,142,71.05,2272,12101,12277
All Courts,Labor and Employment,Overall,467,465,1,500,32,636,3276,19.41,664,346,2576,78.67,12467,49796,53669
All Courts,Personal Injury and Torts,2020,906,873,2,787,49,562,3548,15.84,390,283,1696,70.14,11555,13223,24679
All Courts,Personal Injury and Torts,2021,830,775,1,680,56,517,3140,16.46,346,245,1438,71.64,8879,14213,23100
All Courts,Personal Injury and Torts,2022,638,651,1,653,62,449,2342,19.17,241,148,988,73.70,6036,16614,22541
All Courts,Personal Injury and Torts,2023,531,477,1,526,50,413,1424,29.00,119,69,587,71.69,4115,18307,20928
All Courts,Personal Injury and Torts,2024,404,307,1,326,48,321,1153,27.84,50,24,274,73.53,3141,21073,22418
All Courts,Personal Injury and Torts,Overall,669,707,1,680,53,2262,11607,19.49,1146,769,4983,71.63,33726,83430,113666
Bronx County Supreme Court,All,2020,791,831,3,624,44,162,715,22.66,16,19,287,50.00,3859,7227,10555
Bronx County Supreme Court,All,2021,739,738,3,415,39,141,450,31.33,9,16,156,37.50,2575,7140,8894
