JUDGE_NAME,COURT_NAME,FILED_YEAR,MTD_GRANTED_COUNT,MTD_TOTAL_COUNT,DISMISSAL_RATE_PCT
"HUMMEL, HON. VERONICA G.",Bronx County Supreme Court,2020,12,18,66.67
"DOUGLAS, HON. LAURA G.",Bronx County Supreme Court,2020,20,32,62.50
"SUAREZ, HON. LUCINDO",Bronx County Supreme Court,2020,9,16,56.25
"ALPERT, HON. PAUL L.",Bronx County Supreme Court,2020,30,54,55.56
"SILVER, HON. GEORGE J.",Bronx County Supreme Court,2020,8,16,50.00
"CAPELLA, HON. JOSEPH E.",Bronx County Supreme Court,2021,50,76,65.79
"GEREZ, HON. ALICIA",Bronx County Supreme Court,2021,52,84,61.90
"TAYLOR, HON. ELIZABETH A.",Bronx County Supreme Court,2021,26,46,56.52
"SEMAJ, HON. NAITA A.",Bronx County Supreme Court,2021,10,18,55.56
"DANZIGER, HON. MITCHELL J.",Bronx County Supreme Court,2021,36,66,54.55
"CAPELLA, HON. JOSEPH E.",Bronx County Supreme Court,2022,84,106,79.25
"FERNANDEZ, HON. RAYMOND P.",Bronx County Supreme Court,2022,8,12,66.67
MASS TORT JUDGE,Bronx County Supreme Court,2022,8,12,66.67
"GUZMAN, HON. WILMA",Bronx County Supreme Court,2022,8,14,57.14
"GEREZ, HON. ALICIA",Bronx County Supreme Court,2022,36,64,56.25
"CAPELLA, HON. JOSEPH E.",Bronx County Supreme Court,2023,72,112,64.29
"FRISHMAN, HON. MICHAEL A.",Bronx County Supreme Court,2023,46,84,54.76
"GEREZ, HON. ALICIA",Bronx County Supreme Court,2023,30,60,50.00
"WILSON, HON. KIM A.",Bronx County Supreme Court,2023,12,24,50.00
"SEMAJ, HON. NAITA A.",Bronx County Supreme Court,2023,13,27,48.15
"SEMAJ, HON. NAITA A.",Bronx County Supreme Court,2024,10,12,83.33
"GEREZ, HON. ALICIA",Bronx County Supreme Court,2024,144,206,69.90
"FRISHMAN, HON. MICHAEL A.",Bronx County Supreme Court,2024,68,102,66.67
"PARKER-RASO, HON. MATTHEW",Bronx County Supreme Court,2024,8,14,57.14
"CRAWFORD, HON. ASHLEE",Bronx County Supreme Court,2024,10,18,55.56
